Comment,Designator,Footprint,LCSC,Quantity
1k,"R13,R16,R2,R3,R4,R8",R_0402_1005Metric,C11702,6
2.2 uF,C5,C_0402_1005Metric,C12530,1
~,U2,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias,C128666,1
AO3401A,Q2,SOT-23,C15127,1
10 nF,"C6,C9",C_0402_1005Metric,C15195,2
0.1 uF,"C1,C11,C3,C4,C8",C_0603_1608Metric,C1525,5
10 uF,"C10,C2",C_0402_1005Metric,C15525,2
Conn_01x02,"J2,J4",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402,2
PAIR,D3,LED_0603_1608Metric,C193191,1
330,R18,R_0402_1005Metric,C23138,1
100,R5,R_0402_1005Metric,C25076,1
10k,"R10,R12,R14,R15,R17",R_0402_1005Metric,C25744,5
20k,R9,R_0402_1005Metric,C25765,1
5.1k,"R6,R7",R_0402_1005Metric,C25905,2
1M,R11,R_0402_1005Metric,C26083,1
USB_C_Receptacle_PowerOnly_6P,J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2765186,1
DW01A,U4,SOT-23-6,C2927799,1
SW_SPDT,SW2,SW_SPDT_PCM12 vertical,C3008584,1
Conn_01x05_Socket,J6,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,C3029344,1
PAIR,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
22 uF,C7,C_0402_1005Metric,C415703,1
5k,R1,R_0402_1005Metric,C477765,1
CHRG,D2,LED_0603_1608Metric,C5357909,1
FULL,D1,LED_0805_2012Metric,C5569446,1
TP4056,U1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,C7473158,1
SS34,"D7,D8,D9",D_SMA,C8678,3
FS8205A,U3,SOT-23-6,C908265,1
RaspberryPi_Pico_W,A1,RaspberryPi_Pico_Common_THT,,1
